Region,District,GPS_longitude,GPS_latitude,Altitude,Month,Treatment,Season,Aflatoxin
Western,Masindi,31.8535363,1.8228,1057.45,Oct,Treated,2021B,0.5
Western,Masindi,31.8285954,1.8203,1079.63,Oct,Control,2021B,0.4
Western,Masindi,31.9093606,1.8089,1087.69,Oct,Treated,2021B,0
Western,Masindi,31.8666884,1.8106,1098.22,Oct,Control,2021B,0
Western,Masindi,31.8931209,1.8019,1106.35,Oct,Treated,2021B,0.7
Western,Masindi,31.8931209,1.8019,1103.8,Oct,Control,2021B,1
Western,Masindi,31.893627,1.8064,1099.39,Oct,Treated,2021B,0.4
Western,Masindi,31.893627,1.8042,1119.27,Oct,Control,2021B,0.8
Western,Masindi,31.8842859,1.8092,1091.5,Oct,Treated,2021B,0
Western,Masindi,31.7177778,1.8086111,1091.56,Oct,Control,2021B,0
Northern,Adjumani,31.7643284,3.3784016,791.7188023,July,Treated,2021A,1.5
Northern,Adjumani,31.7645011,3.3791764,779.7749285,July,Control,2021A,2.8
Northern,Adjumani,31.7348802,3.3647158,777.8201057,July,Treated,2021A,1.5
Northern,Adjumani,31.7352497,3.3638544,776.3473569,July,Control,2021A,2
Northern,Adjumani,31.685641,3.3202467,725.1130246,July,Treated,2021A,1.6
Northern,Adjumani,31.6861939,3.3201468,727.3111383,July,Control,2021A,2.4
Northern,Adjumani,31.7417844,3.2042023,868.4904117,July,Control,2021A,3.8
Northern,Adjumani,31.7412104,3.2041918,870.2537414,July,Treated,2021A,2.8
Northern,Adjumani,31.7752652,3.1984937,876.3514277,July,Control,2021A,2.5
Northern,Adjumani,31.7752652,3.1984937,876.3514277,July,Treated,2021A,2
Northern,Adjumani,31.7804249,3.3331146,798.161767,July,Treated,2021A,2.5
Northern,Adjumani,31.779891,3.3328092,805.0328915,July,Control,2021A,2.7
Northern,Adjumani,31.7610346,3.3895839,787.6291173,July,Treated,2021A,0.95
Northern,Adjumani,31.7617383,3.3895485,783.1293677,July,Control,2021A,3.1
Eastern,Amuria,34.4804962,1.3605992,2093.293457,July,Treated,2021A,0
Eastern,Amuria,33.484526,2.0505218,1129.245086,July,Treated,2021A,1.2
Eastern,Amuria,33.4852253,2.0508349,1144.728396,July,Control,2021A,1.7
Northern,Arua,30.9751781,2.8494835,1031.431042,July,Control,2021A,14.6
Northern,Arua,30.9748277,2.8490849,1028.687211,July,Treated,2021A,3.6
Northern,Arua,30.9095263,2.9006954,1271.839625,July,Treated,2021A,0
Northern,Arua,30.9094382,2.900449,1282.166283,July,Control,2021A,0
Northern,Arua,30.8945252,2.8156103,1390.061124,July,Control,2021A,2.8
